Product Type,Product Weight (kg),Purpose,Vehicle Type,maxWeightCapacity
Chickens,7205,livestock,10 wheeler Livestock Truck,8340
Chickens,7274,livestock,10 wheeler Livestock Truck,8127
Vegetables,4174,crops,Heavy Duty Pickup Truck,4719
Fruits,10934,crops,10 Wheeler Cargo Truck,11703
Corn,9793,crops,10 Wheeler Cargo Truck,10039
Eggs,10950,perishable goods,10 wheeler Reefer Truck,11238
Eggs,7410,perishable goods,Large Refrigerated Truck,8861
Eggs,2638,perishable goods,Small Refrigerated Truck,3952
Frozen Fish,13,perishable goods,Small Refrigerated Van,1798
Eggs,958,perishable goods,Medium Refrigerated Van,1241
Frozen Fish,2421,perishable goods,Small Refrigerated Truck,4051
Vegetables,14178,crops,10 Wheeler Dump Truck,15770
Meat,366,perishable goods,Small Refrigerated Van,1456
Eggs,1697,perishable goods,Small Refrigerated Truck,3666
Milk,6469,perishable goods,Large Refrigerated Truck,6773
Vegetables,2195,crops,Elf Truck,2773
Rice,9260,crops,10 Wheeler Cargo Truck,10355
Milk,4150,perishable goods,Medium Refrigerated Truck,5604
Vegetables,11631,crops,10 Wheeler Dump Truck,11798
Cows,5506,livestock,Large Livestock Truck,6321
Meat,1899,perishable goods,Small Refrigerated Truck,3763
Pigs,10336,livestock,10 wheeler Livestock Truck,11993
Leafy Greens,6176,perishable goods,Large Refrigerated Truck,7341
Fresh Vegetables,8685,perishable goods,Large Refrigerated Truck,10173
Rice,1838,crops,Large Delivery Van,2149
Frozen Fish,7418,perishable goods,Large Refrigerated Truck,8945
Frozen Fish,7427,perishable goods,Large Refrigerated Truck,7770
Corn,1425,crops,Medium Pickup Truck,2965
Corn,278,crops,Tricycle,1423
Milk,2782,perishable goods,Small Refrigerated Truck,4607
Milk,4355,perishable goods,Medium Refrigerated Truck,5931
Meat,4303,perishable goods,Medium Refrigerated Truck,5533
Milk,45,perishable goods,Small Refrigerated Van,1943
Fruits,6465,crops,Dropside Truck,6659
Milk,10591,perishable goods,10 wheeler Reefer Truck,12521
Eggs,10511,perishable goods,10 wheeler Reefer Truck,11408
Eggs,1989,perishable goods,Small Refrigerated Truck,3561
Rice,2373,crops,Large Pickup Truck,4346
Eggs,3862,perishable goods,Medium Refrigerated Truck,4353
Vegetables,13286,crops,10 Wheeler Dump Truck,14732
Pigs,3589,livestock,Large Livestock Truck,4643
Fresh Vegetables,7992,perishable goods,Large Refrigerated Truck,9040
Meat,5753,perishable goods,Large Refrigerated Truck,7612
Chickens,3229,livestock,Large Livestock Truck,4771
Leafy Greens,8518,perishable goods,Large Refrigerated Truck,9198
Corn,1134,crops,Small Delivery Van,2101
Rice,8993,crops,10 Wheeler Cargo Truck,9800
Goats,9479,livestock,10 wheeler Livestock Truck,11091
Meat,2547,perishable goods,Small Refrigerated Truck,2982
Pigs,11590,livestock,10 wheeler Livestock Truck,12135
Fresh Vegetables,830,perishable goods,Medium Refrigerated Van,1704
Eggs,4900,perishable goods,Medium Refrigerated Truck,6447
Fresh Vegetables,4935,perishable goods,Medium Refrigerated Truck,6816
Fruits,5048,crops,Dropside Truck,6855
Vegetables,57,crops,Motorcyle with Box,1165
Milk,11935,perishable goods,10 wheeler Reefer Truck,13114
Leafy Greens,2868,perishable goods,Small Refrigerated Truck,3563
Cows,2532,livestock,Medium Livestock Truck,3221
Cows,2258,livestock,Medium Livestock Truck,3358
Cows,8070,livestock,10 wheeler Livestock Truck,8394
Vegetables,5322,crops,Dropside Truck,6838
Leafy Greens,4082,perishable goods,Medium Refrigerated Truck,4387
Frozen Fish,9986,perishable goods,10 wheeler Reefer Truck,11311
Cows,1558,livestock,Medium Livestock Truck,2737
Pigs,2243,livestock,Medium Livestock Truck,4183
Vegetables,14182,crops,10 Wheeler Dump Truck,14914
Milk,10312,perishable goods,10 wheeler Reefer Truck,11184
Vegetables,2307,crops,Elf Truck,3377
Fruits,13953,crops,10 Wheeler Dump Truck,14197
Meat,3161,perishable goods,Medium Refrigerated Truck,5141
Milk,7712,perishable goods,Large Refrigerated Truck,9500
Milk,9396,perishable goods,10 wheeler Reefer Truck,9934
Vegetables,12521,crops,10 Wheeler Dump Truck,13668
Meat,7408,perishable goods,Large Refrigerated Truck,9229
Rice,3074,crops,Large Pickup Truck,4547
Fruits,8031,crops,Dropside Truck,8922
Fresh Vegetables,7284,perishable goods,Large Refrigerated Truck,7702
Fruits,14464,crops,10 Wheeler Dump Truck,14658
Milk,1281,perishable goods,Large Refrigerated Van,1685
Rice,2622,crops,Elf Truck,3635
Goats,4036,livestock,Large Livestock Truck,5862
Chickens,9976,livestock,10 wheeler Livestock Truck,11581
Fresh Vegetables,36,perishable goods,Small Refrigerated Van,674
Goats,1590,livestock,Medium Livestock Truck,3031
Leafy Greens,4128,perishable goods,Medium Refrigerated Truck,5832
Meat,493,perishable goods,Small Refrigerated Van,875
Frozen Fish,4440,perishable goods,Medium Refrigerated Truck,5876
Goats,5113,livestock,Large Livestock Truck,6454
Meat,7940,perishable goods,Large Refrigerated Truck,8472
Fresh Vegetables,5511,perishable goods,Large Refrigerated Truck,7435
Eggs,4606,perishable goods,Medium Refrigerated Truck,6203
Pigs,11268,livestock,10 wheeler Livestock Truck,11459
Rice,14545,crops,10 Wheeler Dump Truck,14915
Chickens,6674,livestock,Large Livestock Truck,7802
Eggs,3026,perishable goods,Medium Refrigerated Truck,3406
Leafy Greens,9900,perishable goods,10 wheeler Reefer Truck,11843
Vegetables,3272,crops,Large Pickup Truck,3904
Pigs,10998,livestock,10 wheeler Livestock Truck,11348
Frozen Fish,4930,perishable goods,Medium Refrigerated Truck,6113
Fruits,9018,crops,10 Wheeler Cargo Truck,10691
Cows,646,livestock,Small Livestock Truck,889
Chickens,11213,livestock,10 wheeler Livestock Truck,11777
Meat,11114,perishable goods,10 wheeler Reefer Truck,11859
Milk,4084,perishable goods,Medium Refrigerated Truck,5931
Chickens,11908,livestock,10 wheeler Livestock Truck,12427
Fruits,5117,crops,Dropside Truck,5251
Eggs,8628,perishable goods,Large Refrigerated Truck,10437
Milk,6741,perishable goods,Large Refrigerated Truck,6977
Milk,8075,perishable goods,Large Refrigerated Truck,8352
Cows,7120,livestock,10 wheeler Livestock Truck,7310
Fruits,3067,crops,Large Pickup Truck,3794
Vegetables,8572,crops,10 Wheeler Cargo Truck,10345
Pigs,6029,livestock,Large Livestock Truck,6527
Goats,6197,livestock,Large Livestock Truck,6386
Cows,6802,livestock,Large Livestock Truck,7024
Milk,7131,perishable goods,Large Refrigerated Truck,7573
Milk,2523,perishable goods,Small Refrigerated Truck,3166
Cows,512,livestock,Small Livestock Truck,2352
Corn,3392,crops,Elf Truck,5295
Corn,6361,crops,Dropside Truck,7619
Vegetables,9796,crops,10 Wheeler Cargo Truck,11258
Pigs,7429,livestock,10 wheeler Livestock Truck,8996
Meat,10980,perishable goods,10 wheeler Reefer Truck,11735
Meat,10931,perishable goods,10 wheeler Reefer Truck,12614
Fruits,2646,crops,Elf Truck,4399
Rice,184,crops,Motorcyle with Box,1772
Eggs,4239,perishable goods,Medium Refrigerated Truck,6114
Chickens,4495,livestock,Large Livestock Truck,5206
Cows,1961,livestock,Medium Livestock Truck,2112
Vegetables,5105,crops,Dropside Truck,5608
Pigs,1068,livestock,Small Livestock Truck,2662
Milk,7313,perishable goods,Large Refrigerated Truck,8715
Leafy Greens,11028,perishable goods,10 wheeler Reefer Truck,11400
Frozen Fish,7044,perishable goods,Large Refrigerated Truck,8987
Leafy Greens,1005,perishable goods,Medium Refrigerated Van,1981
Vegetables,9387,crops,10 Wheeler Cargo Truck,9841
Pigs,4843,livestock,Large Livestock Truck,6005
Goats,7054,livestock,10 wheeler Livestock Truck,7436
Eggs,824,perishable goods,Medium Refrigerated Van,1165
Rice,10179,crops,10 Wheeler Cargo Truck,10966
Rice,10207,crops,10 Wheeler Cargo Truck,11896
Vegetables,9856,crops,10 Wheeler Cargo Truck,11290
Leafy Greens,10227,perishable goods,10 wheeler Reefer Truck,11980
Corn,3786,crops,Heavy Duty Pickup Truck,4272
Goats,957,livestock,Small Livestock Truck,2575
Milk,1867,perishable goods,Small Refrigerated Truck,3491
Goats,9525,livestock,10 wheeler Livestock Truck,9698
Fresh Vegetables,6065,perishable goods,Large Refrigerated Truck,7116
Goats,216,livestock,Small Livestock Truck,934
Goats,3374,livestock,Large Livestock Truck,5159
Corn,2196,crops,Elf Truck,3733
Rice,9711,crops,10 Wheeler Cargo Truck,10642
Rice,3029,crops,Elf Truck,4048
Fruits,2147,crops,Large Pickup Truck,3656
Pigs,4036,livestock,Large Livestock Truck,4319
Corn,12993,crops,10 Wheeler Dump Truck,14544
Milk,10834,perishable goods,10 wheeler Reefer Truck,12557
Goats,7636,livestock,10 wheeler Livestock Truck,9229
Eggs,10673,perishable goods,10 wheeler Reefer Truck,12578
Chickens,5896,livestock,Large Livestock Truck,7817
Milk,6987,perishable goods,Large Refrigerated Truck,7520
Frozen Fish,6027,perishable goods,Large Refrigerated Truck,7838
Meat,1794,perishable goods,Small Refrigerated Truck,3673
Chickens,2136,livestock,Medium Livestock Truck,3639
Pigs,9315,livestock,10 wheeler Livestock Truck,11129
Milk,8479,perishable goods,Large Refrigerated Truck,8685
Milk,3509,perishable goods,Medium Refrigerated Truck,3810
Fresh Vegetables,1785,perishable goods,Small Refrigerated Truck,2453
Chickens,2225,livestock,Medium Livestock Truck,3596
Goats,62,livestock,Small Livestock Truck,222
Leafy Greens,291,perishable goods,Small Refrigerated Van,1450
Rice,236,crops,Tricycle,1095
Pigs,2407,livestock,Medium Livestock Truck,3279
Leafy Greens,7614,perishable goods,Large Refrigerated Truck,8174
Milk,8571,perishable goods,Large Refrigerated Truck,9621
Leafy Greens,1631,perishable goods,Small Refrigerated Truck,2439
Fruits,7376,crops,Dropside Truck,8797
Goats,6406,livestock,Large Livestock Truck,7240
Eggs,4617,perishable goods,Medium Refrigerated Truck,6112
Meat,1312,perishable goods,Large Refrigerated Van,1800
Leafy Greens,9309,perishable goods,10 wheeler Reefer Truck,11102
Chickens,5838,livestock,Large Livestock Truck,7002
Cows,10651,livestock,10 wheeler Livestock Truck,11985
Chickens,216,livestock,Small Livestock Truck,2019
Eggs,5431,perishable goods,Large Refrigerated Truck,7146
Fresh Vegetables,1371,perishable goods,Large Refrigerated Van,2736
Milk,4327,perishable goods,Medium Refrigerated Truck,4851
Frozen Fish,9254,perishable goods,10 wheeler Reefer Truck,10029
Corn,3091,crops,Large Pickup Truck,4253
Chickens,11943,livestock,10 wheeler Livestock Truck,12634
Vegetables,5375,crops,Dropside Truck,6630
Pigs,8026,livestock,10 wheeler Livestock Truck,9973
Vegetables,14426,crops,10 Wheeler Dump Truck,15856
Pigs,142,livestock,Small Livestock Truck,1797
Goats,203,livestock,Small Livestock Truck,1600
Rice,6039,crops,Dropside Truck,7602
Frozen Fish,8554,perishable goods,Large Refrigerated Truck,10260
Milk,4714,perishable goods,Medium Refrigerated Truck,5116
Frozen Fish,4401,perishable goods,Medium Refrigerated Truck,6277
Corn,12197,crops,10 Wheeler Dump Truck,12380
Leafy Greens,10683,perishable goods,10 wheeler Reefer Truck,11805
Chickens,2906,livestock,Medium Livestock Truck,3808
Pigs,8044,livestock,10 wheeler Livestock Truck,8807
Leafy Greens,10987,perishable goods,10 wheeler Reefer Truck,12572
Milk,382,perishable goods,Small Refrigerated Van,1402
Goats,3928,livestock,Large Livestock Truck,5855
Vegetables,11815,crops,10 Wheeler Cargo Truck,12698
Chickens,875,livestock,Small Livestock Truck,2129
Cows,4508,livestock,Large Livestock Truck,6302
Leafy Greens,11811,perishable goods,10 wheeler Reefer Truck,12667
Milk,9914,perishable goods,10 wheeler Reefer Truck,10156
Vegetables,4904,crops,Dropside Truck,5046
Cows,9428,livestock,10 wheeler Livestock Truck,10713
Pigs,2835,livestock,Medium Livestock Truck,3744
Chickens,2158,livestock,Medium Livestock Truck,2643
Goats,406,livestock,Small Livestock Truck,1445
Goats,11802,livestock,10 wheeler Livestock Truck,13021
Meat,4270,perishable goods,Medium Refrigerated Truck,6051
Fresh Vegetables,8148,perishable goods,Large Refrigerated Truck,9259
Cows,6391,livestock,Large Livestock Truck,6685
Chickens,6957,livestock,Large Livestock Truck,8084
Cows,4825,livestock,Large Livestock Truck,5688
Fresh Vegetables,7824,perishable goods,Large Refrigerated Truck,9796
Fruits,7263,crops,Dropside Truck,8026
Frozen Fish,8002,perishable goods,Large Refrigerated Truck,8876
Eggs,1620,perishable goods,Small Refrigerated Truck,3191
Pigs,1765,livestock,Medium Livestock Truck,2354
Eggs,8384,perishable goods,Large Refrigerated Truck,9409
Cows,1224,livestock,Small Livestock Truck,1665
Cows,5590,livestock,Large Livestock Truck,6019
Meat,6946,perishable goods,Large Refrigerated Truck,7680
Fruits,8671,crops,Dropside Truck,9359
Chickens,2044,livestock,Medium Livestock Truck,3165
Leafy Greens,5585,perishable goods,Large Refrigerated Truck,6163
Vegetables,3788,crops,Heavy Duty Pickup Truck,4323
Fruits,3932,crops,Heavy Duty Pickup Truck,5394
Fresh Vegetables,6804,perishable goods,Large Refrigerated Truck,7717
Goats,4045,livestock,Large Livestock Truck,5584
Fresh Vegetables,8362,perishable goods,Large Refrigerated Truck,9560
Fruits,3126,crops,Elf Truck,4845
Corn,6230,crops,Dropside Truck,7244
Fresh Vegetables,9653,perishable goods,10 wheeler Reefer Truck,10293
Pigs,1838,livestock,Medium Livestock Truck,3131
Fruits,9963,crops,10 Wheeler Cargo Truck,11458
Pigs,730,livestock,Small Livestock Truck,1423
Meat,5630,perishable goods,Large Refrigerated Truck,7463
Vegetables,3586,crops,Heavy Duty Pickup Truck,4905
Cows,1430,livestock,Small Livestock Truck,3065
Corn,7536,crops,Dropside Truck,9042
Goats,5872,livestock,Large Livestock Truck,6569
Rice,12739,crops,10 Wheeler Dump Truck,14187
Chickens,4654,livestock,Large Livestock Truck,5379
Goats,3694,livestock,Large Livestock Truck,4068
Meat,4560,perishable goods,Medium Refrigerated Truck,5104
Vegetables,1875,crops,Elf Truck,3040
Rice,8580,crops,10 Wheeler Cargo Truck,10272
Goats,7918,livestock,10 wheeler Livestock Truck,9753
Goats,7912,livestock,10 wheeler Livestock Truck,9141
Vegetables,8315,crops,Dropside Truck,8697
Cows,8687,livestock,10 wheeler Livestock Truck,10218
Eggs,1079,perishable goods,Medium Refrigerated Van,1254
Corn,4940,crops,Dropside Truck,6809
Chickens,9090,livestock,10 wheeler Livestock Truck,10123
Milk,6852,perishable goods,Large Refrigerated Truck,7034
Fresh Vegetables,1364,perishable goods,Large Refrigerated Van,2470
Rice,7362,crops,Dropside Truck,7563
Milk,6389,perishable goods,Large Refrigerated Truck,7489
Goats,10605,livestock,10 wheeler Livestock Truck,12558
Cows,6149,livestock,Large Livestock Truck,6997
Fresh Vegetables,3738,perishable goods,Medium Refrigerated Truck,4792
Cows,11086,livestock,10 wheeler Livestock Truck,12651
Pigs,9212,livestock,10 wheeler Livestock Truck,9747
Pigs,8436,livestock,10 wheeler Livestock Truck,9380
Vegetables,6837,crops,Dropside Truck,7261
Milk,2468,perishable goods,Small Refrigerated Truck,3997
Pigs,87,livestock,Small Livestock Truck,1357
Corn,9141,crops,10 Wheeler Cargo Truck,10092
Milk,449,perishable goods,Small Refrigerated Van,1369
Meat,11079,perishable goods,10 wheeler Reefer Truck,13009
Rice,4839,crops,Dropside Truck,6048
Cows,6393,livestock,Large Livestock Truck,7884
Corn,11075,crops,10 Wheeler Cargo Truck,11425
Cows,1399,livestock,Small Livestock Truck,1941
Vegetables,4184,crops,Heavy Duty Pickup Truck,4405
Leafy Greens,10966,perishable goods,10 wheeler Reefer Truck,11736
Rice,13484,crops,10 Wheeler Dump Truck,14629
Corn,7511,crops,Dropside Truck,8302
Fresh Vegetables,2970,perishable goods,Small Refrigerated Truck,4519
Corn,3864,crops,Heavy Duty Pickup Truck,4823
Chickens,10353,livestock,10 wheeler Livestock Truck,12056
Meat,11322,perishable goods,10 wheeler Reefer Truck,12108
Milk,2084,perishable goods,Small Refrigerated Truck,3239
Pigs,1163,livestock,Small Livestock Truck,2750
Milk,1762,perishable goods,Small Refrigerated Truck,3445
Chickens,5671,livestock,Large Livestock Truck,7027
Fresh Vegetables,7899,perishable goods,Large Refrigerated Truck,9639
Pigs,1794,livestock,Medium Livestock Truck,2449
Pigs,6597,livestock,Large Livestock Truck,7172
Leafy Greens,2281,perishable goods,Small Refrigerated Truck,3631
Cows,11995,livestock,10 wheeler Livestock Truck,12145
Milk,5333,perishable goods,Large Refrigerated Truck,5733
Meat,8172,perishable goods,Large Refrigerated Truck,9591
Vegetables,6350,crops,Dropside Truck,6911
Fresh Vegetables,395,perishable goods,Small Refrigerated Van,1089
Frozen Fish,1229,perishable goods,Large Refrigerated Van,1353
Cows,4783,livestock,Large Livestock Truck,5103
Chickens,2828,livestock,Medium Livestock Truck,3318
Corn,7026,crops,Dropside Truck,8201
Corn,9886,crops,10 Wheeler Cargo Truck,11514
Vegetables,11420,crops,10 Wheeler Dump Truck,13043
Milk,11926,perishable goods,10 wheeler Reefer Truck,13848
Corn,913,crops,Small Delivery Van,1584
Cows,4143,livestock,Large Livestock Truck,5347
Eggs,5619,perishable goods,Large Refrigerated Truck,7613
Pigs,11782,livestock,10 wheeler Livestock Truck,13418
Corn,12224,crops,10 Wheeler Dump Truck,13153
Pigs,9814,livestock,10 wheeler Livestock Truck,10204
Rice,7738,crops,Dropside Truck,7895
Meat,2141,perishable goods,Small Refrigerated Truck,2334
Chickens,1688,livestock,Medium Livestock Truck,3464
Vegetables,1754,crops,Large Delivery Van,2560
Goats,10885,livestock,10 wheeler Livestock Truck,12163
Meat,10132,perishable goods,10 wheeler Reefer Truck,11675
Eggs,2333,perishable goods,Small Refrigerated Truck,2633
Meat,8450,perishable goods,Large Refrigerated Truck,9761
Fresh Vegetables,34,perishable goods,Small Refrigerated Van,804
Fruits,10594,crops,10 Wheeler Cargo Truck,12377
Cows,8889,livestock,10 wheeler Livestock Truck,10185
Fruits,2234,crops,Elf Truck,3747
Leafy Greens,4673,perishable goods,Medium Refrigerated Truck,5620
Vegetables,9067,crops,10 Wheeler Cargo Truck,10113
Goats,7700,livestock,10 wheeler Livestock Truck,8225
Fruits,8420,crops,Dropside Truck,9445
Rice,791,crops,Small Pickup Truck,1201
Goats,4351,livestock,Large Livestock Truck,5537
Fresh Vegetables,1453,perishable goods,Large Refrigerated Van,3378
Goats,5333,livestock,Large Livestock Truck,7062
Goats,2505,livestock,Medium Livestock Truck,3834
Corn,8566,crops,10 Wheeler Cargo Truck,9421
Milk,2924,perishable goods,Small Refrigerated Truck,4189
Eggs,4173,perishable goods,Medium Refrigerated Truck,4915
Meat,363,perishable goods,Small Refrigerated Van,525
Cows,11450,livestock,10 wheeler Livestock Truck,11945
Goats,1741,livestock,Medium Livestock Truck,3516
Cows,3038,livestock,Large Livestock Truck,3972
Corn,4436,crops,Heavy Duty Pickup Truck,5776
Corn,12194,crops,10 Wheeler Dump Truck,13383
Vegetables,7281,crops,Dropside Truck,8244
Leafy Greens,4424,perishable goods,Medium Refrigerated Truck,6131
Fresh Vegetables,8533,perishable goods,Large Refrigerated Truck,10085
Pigs,419,livestock,Small Livestock Truck,2040
Chickens,6400,livestock,Large Livestock Truck,6605
Goats,6060,livestock,Large Livestock Truck,6669
Rice,4704,crops,Dropside Truck,5677
Fresh Vegetables,3240,perishable goods,Medium Refrigerated Truck,3816
Leafy Greens,4445,perishable goods,Medium Refrigerated Truck,6007
Frozen Fish,714,perishable goods,Small Refrigerated Van,868
Corn,7051,crops,Dropside Truck,8506
Fruits,3935,crops,Heavy Duty Pickup Truck,4997
Rice,4030,crops,Heavy Duty Pickup Truck,4951
Leafy Greens,365,perishable goods,Small Refrigerated Van,2181
Pigs,1791,livestock,Medium Livestock Truck,2970
Fresh Vegetables,5782,perishable goods,Large Refrigerated Truck,7482
Fresh Vegetables,7786,perishable goods,Large Refrigerated Truck,9781
Fruits,4023,crops,Heavy Duty Pickup Truck,5370
Milk,11611,perishable goods,10 wheeler Reefer Truck,12705
Corn,12402,crops,10 Wheeler Dump Truck,12947
Leafy Greens,3727,perishable goods,Medium Refrigerated Truck,4325
Vegetables,879,crops,Small Pickup Truck,2483
Rice,4985,crops,Dropside Truck,5235
Rice,13343,crops,10 Wheeler Dump Truck,14586
Chickens,5206,livestock,Large Livestock Truck,6736
Corn,4997,crops,Dropside Truck,5293
Pigs,6531,livestock,Large Livestock Truck,6738
Vegetables,14960,crops,10 Wheeler Dump Truck,15060
Goats,4514,livestock,Large Livestock Truck,5053
Rice,12071,crops,10 Wheeler Dump Truck,13759
Leafy Greens,11189,perishable goods,10 wheeler Reefer Truck,12499
Pigs,9803,livestock,10 wheeler Livestock Truck,11415
Vegetables,3699,crops,Heavy Duty Pickup Truck,3978
Milk,4061,perishable goods,Medium Refrigerated Truck,5498
Goats,1703,livestock,Medium Livestock Truck,3389
Vegetables,26,crops,Motorcyle with Box,1707
Meat,9066,perishable goods,10 wheeler Reefer Truck,10151
Goats,6483,livestock,Large Livestock Truck,6741
Rice,189,crops,Tricycle,539
Milk,8878,perishable goods,Large Refrigerated Truck,10149
Goats,11841,livestock,10 wheeler Livestock Truck,13179
Rice,13751,crops,10 Wheeler Dump Truck,13967
Chickens,1301,livestock,Small Livestock Truck,2121
Chickens,6028,livestock,Large Livestock Truck,6651
Meat,7645,perishable goods,Large Refrigerated Truck,9024
Vegetables,9841,crops,10 Wheeler Cargo Truck,11413
Goats,2085,livestock,Medium Livestock Truck,3028
Rice,14550,crops,10 Wheeler Dump Truck,15412
Corn,14489,crops,10 Wheeler Dump Truck,15398
Milk,10451,perishable goods,10 wheeler Reefer Truck,12174
Eggs,1122,perishable goods,Medium Refrigerated Van,2433
Cows,8167,livestock,10 wheeler Livestock Truck,8619
Cows,9816,livestock,10 wheeler Livestock Truck,11024
Pigs,1876,livestock,Medium Livestock Truck,2051
Meat,1942,perishable goods,Small Refrigerated Truck,3197
Fruits,5779,crops,Dropside Truck,5978
Chickens,7321,livestock,10 wheeler Livestock Truck,9202
Fruits,11696,crops,10 Wheeler Cargo Truck,13063
Vegetables,6738,crops,Dropside Truck,7910
Corn,5846,crops,Dropside Truck,7630
Fruits,10533,crops,10 Wheeler Cargo Truck,11267
Vegetables,7723,crops,Dropside Truck,8875
Pigs,3808,livestock,Large Livestock Truck,4306
Fresh Vegetables,8792,perishable goods,Large Refrigerated Truck,10180
Vegetables,1665,crops,Elf Truck,2427
Rice,6434,crops,Dropside Truck,7798
Corn,10769,crops,10 Wheeler Cargo Truck,11403
Fresh Vegetables,1746,perishable goods,Small Refrigerated Truck,3737
Meat,8146,perishable goods,Large Refrigerated Truck,8677
Eggs,5241,perishable goods,Large Refrigerated Truck,6960
Pigs,8308,livestock,10 wheeler Livestock Truck,8696
Milk,8852,perishable goods,Large Refrigerated Truck,10274
Meat,3286,perishable goods,Medium Refrigerated Truck,4215
Fresh Vegetables,6233,perishable goods,Large Refrigerated Truck,6763
Rice,8456,crops,Dropside Truck,10173
Frozen Fish,11598,perishable goods,10 wheeler Reefer Truck,11770
Frozen Fish,5300,perishable goods,Large Refrigerated Truck,5549
Fresh Vegetables,4685,perishable goods,Medium Refrigerated Truck,5089
Goats,2112,livestock,Medium Livestock Truck,3016
Eggs,7737,perishable goods,Large Refrigerated Truck,9037
Corn,7669,crops,Dropside Truck,9007
Rice,11995,crops,10 Wheeler Dump Truck,13923
Fruits,3002,crops,Large Pickup Truck,4616
Goats,181,livestock,Small Livestock Truck,1967
Frozen Fish,10544,perishable goods,10 wheeler Reefer Truck,12253
Cows,2805,livestock,Medium Livestock Truck,3357
Fresh Vegetables,6687,perishable goods,Large Refrigerated Truck,8419
Corn,195,crops,Tricycle,1301
Cows,267,livestock,Small Livestock Truck,2246
Goats,47,livestock,Small Livestock Truck,1666
Milk,10697,perishable goods,10 wheeler Reefer Truck,10875
Vegetables,8345,crops,10 Wheeler Cargo Truck,9914
Corn,3360,crops,Large Pickup Truck,3551
Frozen Fish,3436,perishable goods,Medium Refrigerated Truck,3979
Meat,1009,perishable goods,Medium Refrigerated Van,2445
Milk,3584,perishable goods,Medium Refrigerated Truck,5083
Fruits,11121,crops,10 Wheeler Cargo Truck,12921
Eggs,5149,perishable goods,Large Refrigerated Truck,5933
Meat,11691,perishable goods,10 wheeler Reefer Truck,12699
Meat,11815,perishable goods,10 wheeler Reefer Truck,13307
Vegetables,13302,crops,10 Wheeler Dump Truck,14455
Cows,5119,livestock,Large Livestock Truck,5330
Corn,14707,crops,10 Wheeler Dump Truck,16674
Corn,10637,crops,10 Wheeler Cargo Truck,11739
Cows,6683,livestock,Large Livestock Truck,7892
Chickens,1823,livestock,Medium Livestock Truck,2597
Eggs,2049,perishable goods,Small Refrigerated Truck,3147
Meat,8670,perishable goods,Large Refrigerated Truck,10054
Corn,3226,crops,Large Pickup Truck,3685
Pigs,860,livestock,Small Livestock Truck,996
Corn,8381,crops,Dropside Truck,10014
Eggs,6910,perishable goods,Large Refrigerated Truck,8572
Milk,828,perishable goods,Medium Refrigerated Van,1218
Vegetables,3088,crops,Large Pickup Truck,3807
Goats,6869,livestock,Large Livestock Truck,8270
Vegetables,7737,crops,Dropside Truck,9341
Frozen Fish,3634,perishable goods,Medium Refrigerated Truck,5382
Goats,9663,livestock,10 wheeler Livestock Truck,11562
Leafy Greens,105,perishable goods,Small Refrigerated Van,1422
Rice,272,crops,Tricycle,1845
Frozen Fish,1015,perishable goods,Medium Refrigerated Van,2714
Rice,4188,crops,Heavy Duty Pickup Truck,5306
Leafy Greens,9795,perishable goods,10 wheeler Reefer Truck,10514
Vegetables,10457,crops,10 Wheeler Cargo Truck,11857
Corn,2852,crops,Large Pickup Truck,3587
Cows,4988,livestock,Large Livestock Truck,5695
Rice,6309,crops,Dropside Truck,7707
Meat,8474,perishable goods,Large Refrigerated Truck,9857
Rice,2735,crops,Large Pickup Truck,2997
Goats,7438,livestock,10 wheeler Livestock Truck,7626
Fresh Vegetables,9209,perishable goods,10 wheeler Reefer Truck,9351
Cows,4945,livestock,Large Livestock Truck,5211
Vegetables,8201,crops,Dropside Truck,9073
Pigs,320,livestock,Small Livestock Truck,1800
Eggs,8074,perishable goods,Large Refrigerated Truck,8279
Pigs,3788,livestock,Large Livestock Truck,4729
Fresh Vegetables,11392,perishable goods,10 wheeler Reefer Truck,12329
Fruits,10601,crops,10 Wheeler Cargo Truck,12565
Eggs,7199,perishable goods,Large Refrigerated Truck,8189
Frozen Fish,2811,perishable goods,Small Refrigerated Truck,2953
Fruits,11767,crops,10 Wheeler Cargo Truck,12634
Meat,10638,perishable goods,10 wheeler Reefer Truck,12631
Fresh Vegetables,8594,perishable goods,Large Refrigerated Truck,9452
Cows,6792,livestock,Large Livestock Truck,7675
Leafy Greens,11548,perishable goods,10 wheeler Reefer Truck,12969
Leafy Greens,7800,perishable goods,Large Refrigerated Truck,9665
Vegetables,1864,crops,Elf Truck,3410
Frozen Fish,4085,perishable goods,Medium Refrigerated Truck,4201
Goats,11920,livestock,10 wheeler Livestock Truck,12692
Eggs,3915,perishable goods,Medium Refrigerated Truck,4922
Vegetables,8333,crops,Dropside Truck,10180
Meat,720,perishable goods,Small Refrigerated Van,2609
Cows,7644,livestock,10 wheeler Livestock Truck,8154
Pigs,6505,livestock,Large Livestock Truck,7036
Vegetables,1105,crops,Large Multicab,2221
Corn,14622,crops,10 Wheeler Dump Truck,16111
Corn,6407,crops,Dropside Truck,7865
Fresh Vegetables,2165,perishable goods,Small Refrigerated Truck,2913
Corn,13060,crops,10 Wheeler Dump Truck,13858
Milk,2445,perishable goods,Small Refrigerated Truck,4118
Pigs,6297,livestock,Large Livestock Truck,7874
