Product Type,Product Weight (kg),Purpose,Vehicle Type
Pigs,5311,livestock,Large Livestock Truck
Chickens,6021,livestock,Large Livestock Truck
Goats,9441,livestock,10 wheeler Livestock Truck
Chickens,5471,livestock,Large Livestock Truck
Fresh Vegetables,8621,perishable goods,Large Refrigerated Truck
Vegetables,13660,crops,10 Wheeler Dump Truck
Rice,4160,crops,Heavy Duty Pickup Truck
Rice,14680,crops,10 Wheeler Dump Truck
Chickens,5191,livestock,Large Livestock Truck
Rice,11220,crops,10 Wheeler Dump Truck
Goats,9231,livestock,10 wheeler Livestock Truck
Rice,11160,crops,10 Wheeler Dump Truck
Fresh Vegetables,1781,perishable goods,Small Refrigerated Truck
Fresh Vegetables,2101,perishable goods,Small Refrigerated Truck
Corn,2720,crops,Elf Truck
Vegetables,1220,crops,Large Delivery Van
Fruits,1790,crops,Elf Truck
Corn,10580,crops,10 Wheeler Cargo Truck
Eggs,8031,perishable goods,Large Refrigerated Truck
Fruits,6790,crops,Dropside Truck
Goats,9531,livestock,10 wheeler Livestock Truck
Goats,6751,livestock,Large Livestock Truck
Fruits,8720,crops,Dropside Truck
Cows,11311,livestock,10 wheeler Livestock Truck
Corn,11880,crops,10 Wheeler Dump Truck
Meat,10381,perishable goods,10 wheeler Reefer Truck
Cows,8561,livestock,10 wheeler Livestock Truck
Vegetables,8600,crops,Dropside Truck
Pigs,10921,livestock,10 wheeler Livestock Truck
Fresh Vegetables,5521,perishable goods,Large Refrigerated Truck
Goats,481,livestock,Small Livestock Truck
Eggs,281,perishable goods,Small Refrigerated Van
Eggs,3611,perishable goods,Medium Refrigerated Truck
Rice,5130,crops,Dropside Truck
Fruits,1030,crops,Large Multicab
Corn,11510,crops,10 Wheeler Dump Truck
Milk,1991,perishable goods,Small Refrigerated Truck
Corn,1520,crops,Large Delivery Van
Corn,470,crops,Small Multicab
Rice,11530,crops,10 Wheeler Cargo Truck
Pigs,7631,livestock,10 wheeler Livestock Truck
Meat,1411,perishable goods,Large Refrigerated Van
Rice,8220,crops,Dropside Truck
Chickens,1421,livestock,Small Livestock Truck
Rice,6450,crops,Dropside Truck
Cows,7701,livestock,10 wheeler Livestock Truck
Fruits,8400,crops,10 Wheeler Cargo Truck
Rice,8820,crops,10 Wheeler Cargo Truck
Frozen Fish,121,perishable goods,Small Refrigerated Van
Pigs,4091,livestock,Large Livestock Truck
Vegetables,9450,crops,10 Wheeler Cargo Truck
Meat,4981,perishable goods,Medium Refrigerated Truck
Corn,3080,crops,Elf Truck
Fresh Vegetables,4551,perishable goods,Medium Refrigerated Truck
Corn,7930,crops,Dropside Truck
Rice,4000,crops,Heavy Duty Pickup Truck
Chickens,10871,livestock,10 wheeler Livestock Truck
Milk,4791,perishable goods,Medium Refrigerated Truck
Rice,7180,crops,Dropside Truck
Pigs,671,livestock,Small Livestock Truck
Rice,6710,crops,Dropside Truck
Cows,4051,livestock,Large Livestock Truck
Fruits,2980,crops,Large Pickup Truck
Corn,2200,crops,Elf Truck
Pigs,451,livestock,Small Livestock Truck
Chickens,1531,livestock,Medium Livestock Truck
Vegetables,10420,crops,10 Wheeler Cargo Truck
Pigs,1501,livestock,Medium Livestock Truck
Goats,8921,livestock,10 wheeler Livestock Truck
Vegetables,640,crops,Small Delivery Van
Rice,13240,crops,10 Wheeler Dump Truck
Cows,2211,livestock,Medium Livestock Truck
Fresh Vegetables,3241,perishable goods,Medium Refrigerated Truck
Rice,1480,crops,Elf Truck
Rice,8520,crops,10 Wheeler Cargo Truck
Vegetables,4490,crops,Heavy Duty Pickup Truck
Cows,2371,livestock,Medium Livestock Truck
Rice,10410,crops,10 Wheeler Cargo Truck
Meat,9111,perishable goods,10 wheeler Reefer Truck
Frozen Fish,5781,perishable goods,Large Refrigerated Truck
Corn,660,crops,Small Delivery Van
Pigs,2491,livestock,Medium Livestock Truck
Cows,11261,livestock,10 wheeler Livestock Truck
Rice,1170,crops,Large Multicab
Eggs,3221,perishable goods,Medium Refrigerated Truck
Vegetables,7970,crops,Dropside Truck
Meat,3711,perishable goods,Medium Refrigerated Truck
Fresh Vegetables,2031,perishable goods,Small Refrigerated Truck
Vegetables,8530,crops,Dropside Truck
Eggs,5581,perishable goods,Large Refrigerated Truck
Vegetables,11930,crops,10 Wheeler Cargo Truck
Corn,12330,crops,10 Wheeler Dump Truck
Fruits,8840,crops,10 Wheeler Cargo Truck
Chickens,9811,livestock,10 wheeler Livestock Truck
Goats,761,livestock,Small Livestock Truck
Frozen Fish,9161,perishable goods,10 wheeler Reefer Truck
Eggs,5431,perishable goods,Large Refrigerated Truck
Leafy Greens,3831,perishable goods,Medium Refrigerated Truck
Vegetables,970,crops,Small Delivery Van
Eggs,7601,perishable goods,Large Refrigerated Truck
Pigs,6461,livestock,Large Livestock Truck
Eggs,1811,perishable goods,Small Refrigerated Truck
Corn,830,crops,Small Multicab
Cows,7201,livestock,10 wheeler Livestock Truck
Pigs,8181,livestock,10 wheeler Livestock Truck
Cows,6601,livestock,Large Livestock Truck
Vegetables,90,crops,Tricycle
Meat,4181,perishable goods,Medium Refrigerated Truck
Corn,7070,crops,Dropside Truck
Milk,6791,perishable goods,Large Refrigerated Truck
Corn,1150,crops,Small Delivery Van
Corn,4590,crops,Dropside Truck
Rice,14620,crops,10 Wheeler Dump Truck
Chickens,3131,livestock,Large Livestock Truck
Corn,740,crops,Small Multicab
Rice,2240,crops,Large Pickup Truck
Vegetables,6530,crops,Dropside Truck
Vegetables,2990,crops,Elf Truck
Fruits,8280,crops,10 Wheeler Cargo Truck
Corn,12040,crops,10 Wheeler Dump Truck
Vegetables,2900,crops,Elf Truck
Leafy Greens,8711,perishable goods,Large Refrigerated Truck
Rice,11610,crops,10 Wheeler Dump Truck
Corn,9790,crops,10 Wheeler Cargo Truck
Fruits,10770,crops,10 Wheeler Cargo Truck
Fruits,13750,crops,10 Wheeler Dump Truck
Frozen Fish,6491,perishable goods,Large Refrigerated Truck
Corn,7340,crops,Dropside Truck
Rice,3290,crops,Elf Truck
Pigs,781,livestock,Small Livestock Truck
Cows,6221,livestock,Large Livestock Truck
Meat,7871,perishable goods,Large Refrigerated Truck
Vegetables,2660,crops,Large Pickup Truck
Corn,6720,crops,Dropside Truck
Milk,4641,perishable goods,Medium Refrigerated Truck
Milk,1081,perishable goods,Medium Refrigerated Van
Corn,7570,crops,Dropside Truck
Vegetables,4750,crops,Dropside Truck
Corn,8920,crops,10 Wheeler Cargo Truck
Fresh Vegetables,9861,perishable goods,10 wheeler Reefer Truck
Chickens,2921,livestock,Medium Livestock Truck
Chickens,6631,livestock,Large Livestock Truck
Rice,2490,crops,Elf Truck
Milk,1451,perishable goods,Large Refrigerated Van
Goats,1671,livestock,Medium Livestock Truck
Vegetables,9410,crops,10 Wheeler Cargo Truck
Frozen Fish,5561,perishable goods,Large Refrigerated Truck
Vegetables,7010,crops,Dropside Truck
Eggs,341,perishable goods,Small Refrigerated Van
Corn,8770,crops,10 Wheeler Cargo Truck
Vegetables,1060,crops,Large Multicab
Goats,3551,livestock,Large Livestock Truck
Vegetables,870,crops,Small Multicab
Fruits,12530,crops,10 Wheeler Dump Truck
Fruits,11710,crops,10 Wheeler Cargo Truck
Rice,10980,crops,10 Wheeler Cargo Truck
Vegetables,11320,crops,10 Wheeler Cargo Truck
Meat,9391,perishable goods,10 wheeler Reefer Truck
Meat,8531,perishable goods,Large Refrigerated Truck
Corn,1860,crops,Elf Truck
Frozen Fish,3731,perishable goods,Medium Refrigerated Truck
Milk,11971,perishable goods,10 wheeler Reefer Truck
Corn,3460,crops,Elf Truck
Vegetables,13310,crops,10 Wheeler Dump Truck
Rice,1560,crops,Large Delivery Van
Vegetables,850,crops,Small Delivery Van
Vegetables,13160,crops,10 Wheeler Dump Truck
Corn,800,crops,Small Multicab
Fruits,10150,crops,10 Wheeler Cargo Truck
Milk,10161,perishable goods,10 wheeler Reefer Truck
Fruits,1510,crops,Elf Truck
Goats,11591,livestock,10 wheeler Livestock Truck
Pigs,131,livestock,Small Livestock Truck
Vegetables,2540,crops,Elf Truck
Leafy Greens,2241,perishable goods,Small Refrigerated Truck
Pigs,3061,livestock,Large Livestock Truck
Fresh Vegetables,11671,perishable goods,10 wheeler Reefer Truck
Fruits,6000,crops,Dropside Truck
Cows,10771,livestock,10 wheeler Livestock Truck
Eggs,11931,perishable goods,10 wheeler Reefer Truck
Fruits,11720,crops,10 Wheeler Cargo Truck
Frozen Fish,3401,perishable goods,Medium Refrigerated Truck
Eggs,8651,perishable goods,Large Refrigerated Truck
Fresh Vegetables,9731,perishable goods,10 wheeler Reefer Truck
Fruits,11790,crops,10 Wheeler Cargo Truck
Cows,10211,livestock,10 wheeler Livestock Truck
Vegetables,6550,crops,Dropside Truck
Cows,4351,livestock,Large Livestock Truck
Rice,950,crops,Small Delivery Van
Rice,4080,crops,Heavy Duty Pickup Truck
Pigs,7421,livestock,10 wheeler Livestock Truck
Cows,10521,livestock,10 wheeler Livestock Truck
Chickens,2871,livestock,Medium Livestock Truck
Fresh Vegetables,11,perishable goods,Small Refrigerated Van
Vegetables,9120,crops,10 Wheeler Cargo Truck
Goats,4191,livestock,Large Livestock Truck
Corn,14310,crops,10 Wheeler Dump Truck
Vegetables,14600,crops,10 Wheeler Dump Truck
Fruits,3040,crops,Elf Truck
Rice,8000,crops,Dropside Truck
Fruits,3400,crops,Large Pickup Truck
Fresh Vegetables,3801,perishable goods,Medium Refrigerated Truck
Frozen Fish,7951,perishable goods,Large Refrigerated Truck
Corn,7450,crops,Dropside Truck
Vegetables,1400,crops,Elf Truck
Cows,7461,livestock,10 wheeler Livestock Truck
Fruits,430,crops,Small Multicab
Goats,3031,livestock,Large Livestock Truck
Rice,7990,crops,Dropside Truck
Vegetables,3180,crops,Elf Truck
Leafy Greens,1691,perishable goods,Small Refrigerated Truck
Frozen Fish,3911,perishable goods,Medium Refrigerated Truck
Eggs,9451,perishable goods,10 wheeler Reefer Truck
Eggs,7691,perishable goods,Large Refrigerated Truck
Frozen Fish,2271,perishable goods,Small Refrigerated Truck
Leafy Greens,7831,perishable goods,Large Refrigerated Truck
Fruits,2940,crops,Large Pickup Truck
Rice,10040,crops,10 Wheeler Cargo Truck
Fruits,11690,crops,10 Wheeler Cargo Truck
Fruits,5590,crops,Dropside Truck
Goats,10981,livestock,10 wheeler Livestock Truck
Rice,10100,crops,10 Wheeler Cargo Truck
Meat,11021,perishable goods,10 wheeler Reefer Truck
Fresh Vegetables,831,perishable goods,Medium Refrigerated Van
Corn,12390,crops,10 Wheeler Dump Truck
Fresh Vegetables,2751,perishable goods,Small Refrigerated Truck
Meat,5311,perishable goods,Large Refrigerated Truck
Vegetables,12240,crops,10 Wheeler Dump Truck
Cows,11991,livestock,10 wheeler Livestock Truck
Milk,191,perishable goods,Small Refrigerated Van
Milk,6501,perishable goods,Large Refrigerated Truck
Leafy Greens,11501,perishable goods,10 wheeler Reefer Truck
Corn,8750,crops,Dropside Truck
Goats,271,livestock,Small Livestock Truck
Vegetables,11970,crops,10 Wheeler Dump Truck
Milk,2661,perishable goods,Small Refrigerated Truck
Chickens,8691,livestock,10 wheeler Livestock Truck
Eggs,4711,perishable goods,Medium Refrigerated Truck
Vegetables,1290,crops,Medium Pickup Truck
Cows,5331,livestock,Large Livestock Truck
Eggs,11541,perishable goods,10 wheeler Reefer Truck
Leafy Greens,11431,perishable goods,10 wheeler Reefer Truck
Milk,5691,perishable goods,Large Refrigerated Truck
Frozen Fish,8301,perishable goods,Large Refrigerated Truck
Chickens,4171,livestock,Large Livestock Truck
Corn,1420,crops,Elf Truck
Goats,9471,livestock,10 wheeler Livestock Truck
Meat,5081,perishable goods,Large Refrigerated Truck
Corn,1050,crops,Small Pickup Truck
Rice,1590,crops,Elf Truck
Vegetables,3350,crops,Elf Truck
Fresh Vegetables,8871,perishable goods,Large Refrigerated Truck
Fresh Vegetables,10221,perishable goods,10 wheeler Reefer Truck
Rice,4110,crops,Heavy Duty Pickup Truck
Rice,1200,crops,Medium Pickup Truck
Corn,1470,crops,Elf Truck
Rice,820,crops,Small Multicab
Vegetables,2840,crops,Large Pickup Truck
Rice,2790,crops,Large Pickup Truck
Frozen Fish,9611,perishable goods,10 wheeler Reefer Truck
Milk,211,perishable goods,Small Refrigerated Van
Fruits,8320,crops,Dropside Truck
Eggs,11841,perishable goods,10 wheeler Reefer Truck
Pigs,11601,livestock,10 wheeler Livestock Truck
Rice,1480,crops,Large Delivery Van
Fresh Vegetables,4721,perishable goods,Medium Refrigerated Truck
Cows,3791,livestock,Large Livestock Truck
Cows,3961,livestock,Large Livestock Truck
Fresh Vegetables,7261,perishable goods,Large Refrigerated Truck
Fresh Vegetables,11071,perishable goods,10 wheeler Reefer Truck
Vegetables,1940,crops,Large Pickup Truck
Fresh Vegetables,1521,perishable goods,Small Refrigerated Truck
Corn,8210,crops,Dropside Truck
Pigs,4981,livestock,Large Livestock Truck
Fruits,11170,crops,10 Wheeler Dump Truck
Goats,1211,livestock,Small Livestock Truck
Corn,11010,crops,10 Wheeler Cargo Truck
Vegetables,1870,crops,Large Delivery Van
Eggs,9891,perishable goods,10 wheeler Reefer Truck
Eggs,11251,perishable goods,10 wheeler Reefer Truck
Rice,9950,crops,10 Wheeler Cargo Truck
Milk,10961,perishable goods,10 wheeler Reefer Truck
Chickens,3081,livestock,Large Livestock Truck
Leafy Greens,6921,perishable goods,Large Refrigerated Truck
Rice,3510,crops,Heavy Duty Pickup Truck
Corn,11260,crops,10 Wheeler Cargo Truck
Pigs,6361,livestock,Large Livestock Truck
Meat,4131,perishable goods,Medium Refrigerated Truck
Corn,14800,crops,10 Wheeler Dump Truck
Cows,5301,livestock,Large Livestock Truck
Vegetables,12350,crops,10 Wheeler Dump Truck
Fruits,9490,crops,10 Wheeler Cargo Truck
Rice,940,crops,Small Multicab
Frozen Fish,2841,perishable goods,Small Refrigerated Truck
Cows,2121,livestock,Medium Livestock Truck
Eggs,10871,perishable goods,10 wheeler Reefer Truck
Goats,5061,livestock,Large Livestock Truck
Goats,1201,livestock,Small Livestock Truck
Rice,8350,crops,Dropside Truck
Leafy Greens,10701,perishable goods,10 wheeler Reefer Truck
Goats,8101,livestock,10 wheeler Livestock Truck
Vegetables,1080,crops,Small Pickup Truck
Corn,5050,crops,Dropside Truck
Vegetables,4620,crops,Dropside Truck
Fresh Vegetables,9381,perishable goods,10 wheeler Reefer Truck
Corn,2260,crops,Large Pickup Truck
Pigs,11841,livestock,10 wheeler Livestock Truck
Corn,13630,crops,10 Wheeler Dump Truck
Goats,9131,livestock,10 wheeler Livestock Truck
Corn,12280,crops,10 Wheeler Dump Truck
Fruits,9020,crops,10 Wheeler Cargo Truck
Pigs,10381,livestock,10 wheeler Livestock Truck
Fruits,2440,crops,Large Pickup Truck
Chickens,8831,livestock,10 wheeler Livestock Truck
Pigs,5081,livestock,Large Livestock Truck
Eggs,761,perishable goods,Small Refrigerated Van
Rice,14520,crops,10 Wheeler Dump Truck
Cows,7931,livestock,10 wheeler Livestock Truck
Fruits,8960,crops,10 Wheeler Cargo Truck
Vegetables,2610,crops,Large Pickup Truck
Goats,7601,livestock,10 wheeler Livestock Truck
Milk,3541,perishable goods,Medium Refrigerated Truck
Pigs,1351,livestock,Small Livestock Truck
Cows,7861,livestock,10 wheeler Livestock Truck
Fruits,7580,crops,Dropside Truck
Corn,1290,crops,Large Multicab
Fruits,680,crops,Small Delivery Van
Cows,9701,livestock,10 wheeler Livestock Truck
Goats,2281,livestock,Medium Livestock Truck
Cows,2941,livestock,Medium Livestock Truck
Fruits,6250,crops,Dropside Truck
Rice,1040,crops,Small Delivery Van
Chickens,4971,livestock,Large Livestock Truck
Chickens,6281,livestock,Large Livestock Truck
Fruits,4810,crops,Dropside Truck
Meat,711,perishable goods,Small Refrigerated Van
Fresh Vegetables,2181,perishable goods,Small Refrigerated Truck
Chickens,2701,livestock,Medium Livestock Truck
Rice,8460,crops,Dropside Truck
Rice,620,crops,Small Delivery Van
Fresh Vegetables,1061,perishable goods,Medium Refrigerated Van
Cows,6251,livestock,Large Livestock Truck
Cows,4101,livestock,Large Livestock Truck
Corn,14170,crops,10 Wheeler Dump Truck
Fruits,11120,crops,10 Wheeler Dump Truck
Leafy Greens,7781,perishable goods,Large Refrigerated Truck
Pigs,5221,livestock,Large Livestock Truck
Fruits,840,crops,Small Multicab
Corn,4560,crops,Dropside Truck
Goats,9501,livestock,10 wheeler Livestock Truck
Meat,4681,perishable goods,Medium Refrigerated Truck
Rice,8340,crops,10 Wheeler Cargo Truck
Vegetables,1080,crops,Large Multicab
Chickens,1391,livestock,Small Livestock Truck
Eggs,791,perishable goods,Small Refrigerated Van
Milk,11441,perishable goods,10 wheeler Reefer Truck
Rice,7380,crops,Dropside Truck
Vegetables,2710,crops,Large Pickup Truck
Fresh Vegetables,2571,perishable goods,Small Refrigerated Truck
Meat,2021,perishable goods,Small Refrigerated Truck
Goats,5141,livestock,Large Livestock Truck
Milk,1591,perishable goods,Small Refrigerated Truck
Fresh Vegetables,8111,perishable goods,Large Refrigerated Truck
Pigs,8751,livestock,10 wheeler Livestock Truck
Milk,8321,perishable goods,Large Refrigerated Truck
Fruits,9910,crops,10 Wheeler Cargo Truck
Leafy Greens,8081,perishable goods,Large Refrigerated Truck
Pigs,5421,livestock,Large Livestock Truck
Chickens,8241,livestock,10 wheeler Livestock Truck
Fruits,5290,crops,Dropside Truck
Corn,3420,crops,Elf Truck
Fresh Vegetables,7471,perishable goods,Large Refrigerated Truck
Pigs,7481,livestock,10 wheeler Livestock Truck
Goats,2801,livestock,Medium Livestock Truck
Rice,14930,crops,10 Wheeler Dump Truck
Leafy Greens,3471,perishable goods,Medium Refrigerated Truck
Cows,3771,livestock,Large Livestock Truck
Corn,11090,crops,10 Wheeler Cargo Truck
Vegetables,3450,crops,Elf Truck
Vegetables,11220,crops,10 Wheeler Cargo Truck
Rice,11450,crops,10 Wheeler Dump Truck
Corn,960,crops,Small Delivery Van
Vegetables,2250,crops,Large Pickup Truck
Vegetables,990,crops,Small Pickup Truck
Fruits,11130,crops,10 Wheeler Cargo Truck
Corn,3810,crops,Heavy Duty Pickup Truck
Fruits,7350,crops,Dropside Truck
Goats,11831,livestock,10 wheeler Livestock Truck
Corn,13080,crops,10 Wheeler Dump Truck
Corn,4800,crops,Dropside Truck
Cows,4531,livestock,Large Livestock Truck
Eggs,6351,perishable goods,Large Refrigerated Truck
Rice,13540,crops,10 Wheeler Dump Truck
Pigs,841,livestock,Small Livestock Truck
Cows,10611,livestock,10 wheeler Livestock Truck
Vegetables,4470,crops,Dropside Truck
Fruits,1360,crops,Large Multicab
Meat,11181,perishable goods,10 wheeler Reefer Truck
Corn,1190,crops,Large Delivery Van
Vegetables,13050,crops,10 Wheeler Dump Truck
Eggs,4171,perishable goods,Medium Refrigerated Truck
Frozen Fish,4391,perishable goods,Medium Refrigerated Truck
Fresh Vegetables,8891,perishable goods,Large Refrigerated Truck
Corn,540,crops,Small Multicab
Fresh Vegetables,9361,perishable goods,10 wheeler Reefer Truck
Corn,11400,crops,10 Wheeler Dump Truck
Leafy Greens,1981,perishable goods,Small Refrigerated Truck
Corn,14820,crops,10 Wheeler Dump Truck
Corn,11670,crops,10 Wheeler Dump Truck
Chickens,3861,livestock,Large Livestock Truck
Vegetables,1230,crops,Large Multicab
Vegetables,1440,crops,Medium Pickup Truck
Fruits,2280,crops,Large Pickup Truck
Frozen Fish,1541,perishable goods,Small Refrigerated Truck
Fruits,930,crops,Small Delivery Van
Rice,2520,crops,Large Pickup Truck
Fruits,6840,crops,Dropside Truck
Vegetables,12620,crops,10 Wheeler Dump Truck
Rice,1100,crops,Small Delivery Van
Goats,7541,livestock,10 wheeler Livestock Truck
Cows,3331,livestock,Large Livestock Truck
Goats,9741,livestock,10 wheeler Livestock Truck
Fruits,13100,crops,10 Wheeler Dump Truck
Vegetables,5110,crops,Dropside Truck
Chickens,11471,livestock,10 wheeler Livestock Truck
Cows,7831,livestock,10 wheeler Livestock Truck
Rice,7210,crops,Dropside Truck
Fruits,1300,crops,Large Multicab
Goats,1691,livestock,Medium Livestock Truck
Fruits,61,crops,Motorcycle with Box
Cows,6801,livestock,Large Livestock Truck
Fruits,2210,crops,Elf Truck
Meat,9801,perishable goods,10 wheeler Reefer Truck
Corn,1150,crops,Medium Pickup Truck
Cows,3441,livestock,Large Livestock Truck
Vegetables,1940,crops,Large Delivery Van
Fresh Vegetables,3921,perishable goods,Medium Refrigerated Truck
Pigs,4031,livestock,Large Livestock Truck
Vegetables,13110,crops,10 Wheeler Dump Truck
Leafy Greens,11851,perishable goods,10 wheeler Reefer Truck
Vegetables,8310,crops,Dropside Truck
Vegetables,8160,crops,Dropside Truck
Vegetables,12100,crops,10 Wheeler Dump Truck
Cows,4271,livestock,Large Livestock Truck
Vegetables,3150,crops,Elf Truck
Vegetables,13720,crops,10 Wheeler Dump Truck
Rice,1390,crops,Medium Pickup Truck
Frozen Fish,7531,perishable goods,Large Refrigerated Truck
Fruits,13910,crops,10 Wheeler Dump Truck
Rice,9860,crops,10 Wheeler Cargo Truck
Chickens,1801,livestock,Medium Livestock Truck
Pigs,1951,livestock,Medium Livestock Truck
Meat,6981,perishable goods,Large Refrigerated Truck
Leafy Greens,6251,perishable goods,Large Refrigerated Truck
Corn,11410,crops,10 Wheeler Dump Truck
Corn,4050,crops,Heavy Duty Pickup Truck
Pigs,4251,livestock,Large Livestock Truck
Vegetables,12310,crops,10 Wheeler Dump Truck
Chickens,4331,livestock,Large Livestock Truck
Milk,6291,perishable goods,Large Refrigerated Truck
Vegetables,11070,crops,10 Wheeler Cargo Truck
Corn,2780,crops,Elf Truck
Cows,3951,livestock,Large Livestock Truck
Goats,6381,livestock,Large Livestock Truck
Vegetables,4880,crops,Dropside Truck
Rice,6890,crops,Dropside Truck
Meat,10881,perishable goods,10 wheeler Reefer Truck
Milk,1391,perishable goods,Large Refrigerated Van
Cows,8981,livestock,10 wheeler Livestock Truck
Vegetables,4280,crops,Heavy Duty Pickup Truck
Rice,13150,crops,10 Wheeler Dump Truck
Rice,5160,crops,Dropside Truck
Fruits,2920,crops,Large Pickup Truck
Vegetables,10570,crops,10 Wheeler Cargo Truck
Eggs,5301,perishable goods,Large Refrigerated Truck
Corn,2000,crops,Large Delivery Van
Rice,1110,crops,Medium Pickup Truck
Fruits,11840,crops,10 Wheeler Cargo Truck
Fruits,3330,crops,Large Pickup Truck
Goats,9941,livestock,10 wheeler Livestock Truck
Fruits,770,crops,Small Multicab
Eggs,8251,perishable goods,Large Refrigerated Truck
Rice,890,crops,Small Pickup Truck
Eggs,9371,perishable goods,10 wheeler Reefer Truck
Pigs,3501,livestock,Large Livestock Truck
Frozen Fish,1251,perishable goods,Large Refrigerated Van
Corn,8760,crops,Dropside Truck
Fruits,13970,crops,10 Wheeler Dump Truck
Corn,9810,crops,10 Wheeler Cargo Truck
Cows,3351,livestock,Large Livestock Truck
Corn,4950,crops,Dropside Truck
Meat,8341,perishable goods,Large Refrigerated Truck
Goats,6011,livestock,Large Livestock Truck
Chickens,4011,livestock,Large Livestock Truck
Vegetables,6380,crops,Dropside Truck
Pigs,3021,livestock,Large Livestock Truck
Cows,9031,livestock,10 wheeler Livestock Truck
Chickens,4021,livestock,Large Livestock Truck
Chickens,11351,livestock,10 wheeler Livestock Truck
Chickens,10831,livestock,10 wheeler Livestock Truck
Milk,5761,perishable goods,Large Refrigerated Truck
Corn,1120,crops,Large Delivery Van
Leafy Greens,6051,perishable goods,Large Refrigerated Truck
Rice,1690,crops,Large Delivery Van
Fruits,1780,crops,Large Delivery Van
Vegetables,6750,crops,Dropside Truck
Vegetables,3680,crops,Heavy Duty Pickup Truck
Meat,7031,perishable goods,Large Refrigerated Truck
Meat,10131,perishable goods,10 wheeler Reefer Truck
Fresh Vegetables,31,perishable goods,Small Refrigerated Van
Milk,6721,perishable goods,Large Refrigerated Truck
Fresh Vegetables,10751,perishable goods,10 wheeler Reefer Truck
Corn,820,crops,Small Pickup Truck
Fruits,660,crops,Small Multicab
Leafy Greens,2001,perishable goods,Small Refrigerated Truck
Fresh Vegetables,9881,perishable goods,10 wheeler Reefer Truck
Rice,2650,crops,Large Pickup Truck
Vegetables,3100,crops,Large Pickup Truck
Corn,13230,crops,10 Wheeler Dump Truck
Goats,2041,livestock,Medium Livestock Truck
Frozen Fish,11991,perishable goods,10 wheeler Reefer Truck
Corn,3160,crops,Large Pickup Truck
Fruits,760,crops,Small Multicab
Cows,9481,livestock,10 wheeler Livestock Truck
Pigs,231,livestock,Small Livestock Truck
Rice,7950,crops,Dropside Truck
Rice,13430,crops,10 Wheeler Dump Truck
Chickens,4371,livestock,Large Livestock Truck
Fruits,8160,crops,10 Wheeler Cargo Truck
Rice,6600,crops,Dropside Truck
Rice,5780,crops,Dropside Truck
Fruits,8470,crops,Dropside Truck
Rice,1250,crops,Large Multicab
Rice,1570,crops,Large Delivery Van
Eggs,9641,perishable goods,10 wheeler Reefer Truck
Corn,13510,crops,10 Wheeler Dump Truck
Vegetables,260,crops,Tricycle
Pigs,1331,livestock,Small Livestock Truck
Cows,2881,livestock,Medium Livestock Truck
Fruits,480,crops,Small Multicab
Meat,3481,perishable goods,Medium Refrigerated Truck
Rice,2450,crops,Elf Truck
Fruits,13390,crops,10 Wheeler Dump Truck
Leafy Greens,1761,perishable goods,Small Refrigerated Truck
Eggs,2291,perishable goods,Small Refrigerated Truck
Fresh Vegetables,9001,perishable goods,10 wheeler Reefer Truck
Corn,1490,crops,Elf Truck
Vegetables,750,crops,Small Multicab
Rice,2510,crops,Large Pickup Truck
Pigs,2571,livestock,Medium Livestock Truck
Fruits,9830,crops,10 Wheeler Cargo Truck
Fresh Vegetables,691,perishable goods,Small Refrigerated Van
Corn,1940,crops,Elf Truck
Vegetables,8640,crops,10 Wheeler Cargo Truck
Milk,7271,perishable goods,Large Refrigerated Truck
Goats,1541,livestock,Medium Livestock Truck
Rice,2190,crops,Large Pickup Truck
Chickens,6891,livestock,Large Livestock Truck
Fruits,4210,crops,Heavy Duty Pickup Truck
Pigs,6921,livestock,Large Livestock Truck
Fruits,9270,crops,10 Wheeler Cargo Truck
Cows,1571,livestock,Medium Livestock Truck
Leafy Greens,221,perishable goods,Small Refrigerated Van
Vegetables,5220,crops,Dropside Truck
Fruits,14720,crops,10 Wheeler Dump Truck
Fruits,8590,crops,Dropside Truck
Vegetables,11820,crops,10 Wheeler Dump Truck
Vegetables,1800,crops,Large Delivery Van
Corn,7440,crops,Dropside Truck
Rice,3970,crops,Heavy Duty Pickup Truck
Meat,7541,perishable goods,Large Refrigerated Truck
Eggs,2481,perishable goods,Small Refrigerated Truck
Eggs,7461,perishable goods,Large Refrigerated Truck
Rice,12680,crops,10 Wheeler Dump Truck
Fruits,6080,crops,Dropside Truck
Chickens,10851,livestock,10 wheeler Livestock Truck
Corn,13990,crops,10 Wheeler Dump Truck
Rice,11,crops,Motorcycle with Box
Fruits,2700,crops,Elf Truck
Fresh Vegetables,4741,perishable goods,Medium Refrigerated Truck
Fruits,7410,crops,Dropside Truck
Fruits,3820,crops,Heavy Duty Pickup Truck
Meat,3631,perishable goods,Medium Refrigerated Truck
Milk,3521,perishable goods,Medium Refrigerated Truck
Milk,7981,perishable goods,Large Refrigerated Truck
Rice,14510,crops,10 Wheeler Dump Truck
Eggs,1291,perishable goods,Large Refrigerated Van
Fruits,4400,crops,Heavy Duty Pickup Truck
Fresh Vegetables,4871,perishable goods,Medium Refrigerated Truck
Corn,8040,crops,10 Wheeler Cargo Truck
Frozen Fish,3271,perishable goods,Medium Refrigerated Truck
Chickens,9601,livestock,10 wheeler Livestock Truck
Fruits,13950,crops,10 Wheeler Dump Truck
Rice,1000,crops,Large Multicab
